¹Ì¶¨Ki£¬Kd_smoothed_smoothed,"error,Kp=1,Ki=0,Kd=0_smoothed","error,Kp=3,Ki=0,Kd=0_smoothed","error,Kp=4,Ki=0,Kd=0_smoothed","¹Ì¶¨Kp,Ki_smoothed_smoothed","error,Kp=3,Ki=0,Kd=0_smoothed","error,Kp=3,Ki=0,Kd=1_smoothed","error,Kp=3,Ki=0,Kd=5_smoothed","¹Ì¶¨Kp,Kd_smoothed_smoothed","error,Kp=3,Ki=0,Kd=0_smoothed","error,Kp=3,Ki=0.005,Kd=0_smoothed","error,Kp=3,Ki=0.007,Kd=0_smoothed","error,Kp=3,Ki=0.01,Kd=0_smoothed"
,0.081859119,0.067799143,0.074183742,,0.067799143,0.085727043,0.073999856,,0.067799143,0.077639184,0.086829885,0.081302019
,0.084768268,0.068458802,0.074853704,,0.068458802,0.087112523,0.074801416,,0.068458802,0.078872518,0.088471178,0.083083918
,0.087743963,0.069024437,0.075161095,,0.069024437,0.088332725,0.075339259,,0.069024437,0.079821625,0.089789588,0.084606935
,0.090612613,0.069510639,0.075139843,,0.069510639,0.089479036,0.075737205,,0.069510639,0.080564496,0.090757942,0.085943948
,0.093476693,0.069859753,0.074829813,,0.069859753,0.09046512,0.076004051,,0.069859753,0.081159156,0.09142022,0.087022459
,0.096241413,0.070065547,0.074259282,,0.070065547,0.091326982,0.076262353,,0.070065547,0.081556081,0.091808548,0.087820581
,0.099005477,0.070104492,0.073516596,,0.070104492,0.091985326,0.076502207,,0.070104492,0.081784529,0.091990149,0.088252855
,0.101706455,0.069940067,0.072652643,,0.069940067,0.092491782,0.076676284,,0.069940067,0.081772687,0.091997899,0.088386645
,0.10438299,0.069558666,0.071731798,,0.069558666,0.092769582,0.076701846,,0.069558666,0.081516045,0.091876319,0.088215961
,0.107067219,0.069084419,0.070737224,,0.069084419,0.092838237,0.076583439,,0.069084419,0.08103014,0.091599608,0.087764459
,0.109676048,0.068542231,0.069763083,,0.068542231,0.092645452,0.076329548,,0.068542231,0.080496804,0.091199707,0.087071619
,0.112253051,0.068008459,0.068794724,,0.068008459,0.09224888,0.075938732,,0.068008459,0.079923727,0.090677951,0.086202373
,0.114815279,0.067433644,0.067830876,,0.067433644,0.091607896,0.075464624,,0.067433644,0.079362278,0.090082294,0.085160137
,0.117338289,0.066812873,0.066896938,,0.066812873,0.090780058,0.074914394,,0.066812873,0.078754736,0.089344068,0.083976904
,0.119735018,0.066101222,0.065979434,,0.066101222,0.089785274,0.074295681,,0.066101222,0.07808972,0.088488875,0.082652826
,0.121993569,0.065322939,0.06503164,,0.065322939,0.088710178,0.073544844,,0.065322939,0.077255052,0.087484167,0.081258375
,0.124091324,0.064456956,0.064061388,,0.064456956,0.087576075,0.07269014,,0.064456956,0.076298916,0.08632715,0.079852809
,0.126060835,0.063564716,0.063119932,,0.063564716,0.086454214,0.071750423,,0.063564716,0.075225696,0.085020215,0.078451109
,0.127954449,0.0626855,0.062135738,,0.0626855,0.085319715,0.070810293,,0.0626855,0.074158022,0.083591725,0.077088017
,0.129736353,0.061763504,0.061160875,,0.061763504,0.084189314,0.069833699,,0.061763504,0.073127249,0.08214424,0.075740327
,0.131475893,0.060844395,0.060139551,,0.060844395,0.083036526,0.068857034,,0.060844395,0.072083392,0.080746437,0.074446764
,0.133187146,0.059900801,0.059134532,,0.059900801,0.081876647,0.067855333,,0.059900801,0.071042529,0.079317876,0.073102105
,0.134733024,0.058978832,0.058113391,,0.058978832,0.080696566,0.066858779,,0.058978832,0.069960031,0.077870379,0.07178405
,0.136151055,0.058017055,0.057067907,,0.058017055,0.079522088,0.065825729,,0.058017055,0.0688465,0.076440208,0.07041182
,0.137500439,0.057102556,0.055965601,,0.057102556,0.078348947,0.064798478,,0.057102556,0.067628471,0.074997852,0.06909687
,0.138764711,0.056143605,0.054919012,,0.056143605,0.077180946,0.0637641,,0.056143605,0.066436652,0.073532391,0.067778511
,0.139967096,0.055224288,0.053828464,,0.055224288,0.075992232,0.0627337,,0.055224288,0.065221076,0.072100412,0.066451876
,0.141169583,0.054257868,0.052705038,,0.054257868,0.074773182,0.06168728,,0.054257868,0.064033067,0.070661911,0.065112647
,0.142293959,0.053251713,0.051593534,,0.053251713,0.07356845,0.060637588,,0.053251713,0.062835234,0.069274835,0.063760163
,0.143321937,0.052205209,0.050505447,,0.052205209,0.072333797,0.059580112,,0.052205209,0.061627218,0.067909804,0.062404169
,0.144242268,0.05113812,0.049407198,,0.05113812,0.071123517,0.058521936,,0.05113812,0.060423206,0.066520685,0.061007253
,0.144959926,0.050019102,0.048337806,,0.050019102,0.069886238,0.057513165,,0.050019102,0.059162641,0.065109012,0.059675687
,0.145506021,0.048855087,0.047284068,,0.048855087,0.068681525,0.056515755,,0.048855087,0.057855469,0.063700087,0.058296697
,0.145933832,0.047721085,0.046285804,,0.047721085,0.06742592,0.055541104,,0.047721085,0.056509942,0.062298501,0.056981675
,0.146285281,0.046569454,0.045294056,,0.046569454,0.066160587,0.054583037,,0.046569454,0.055246377,0.060839422,0.055593476
,0.146565607,0.045427142,0.044295339,,0.045427142,0.064836484,0.053652163,,0.045427142,0.053944396,0.059440131,0.054172288
,0.14678091,0.044286075,0.043322494,,0.044286075,0.06358826,0.052707469,,0.044286075,0.052620134,0.058041945,0.052647068
,0.146899964,0.043225673,0.042378717,,0.043225673,0.06232246,0.051828368,,0.043225673,0.05132993,0.056654589,0.051090697
,0.146930297,0.042210448,0.041436103,,0.042210448,0.061084117,0.050947625,,0.042210448,0.050005437,0.055230549,0.049462772
,0.146873842,0.041224439,0.040509711,,0.041224439,0.059881757,0.050101168,,0.041224439,0.048626581,0.053766316,0.047785715
,0.146769881,0.040264473,0.039636366,,0.040264473,0.058728019,0.049240735,,0.040264473,0.04718757,0.052251802,0.04610914
,0.146628123,0.039316739,0.038779663,,0.039316739,0.057563002,0.048366441,,0.039316739,0.045802692,0.050822364,0.044470652
,0.146453981,0.038378164,0.037956648,,0.038378164,0.056420231,0.047439742,,0.038378164,0.044469224,0.049415061,0.042879924
,0.146188643,0.0374278,0.03717424,,0.0374278,0.055275115,0.046497296,,0.0374278,0.043188191,0.048027075,0.041259361
,0.145830763,0.036510392,0.036472799,,0.036510392,0.054198916,0.045505845,,0.036510392,0.041857648,0.046716529,0.039721801
,0.145360036,0.035654802,0.035814607,,0.035654802,0.053139257,0.044523855,,0.035654802,0.040603278,0.045412897,0.038227492
,0.14481428,0.034825433,0.035198104,,0.034825433,0.052060663,0.043540307,,0.034825433,0.039374822,0.044063215,0.036766022
,0.144196902,0.033958281,0.034581369,,0.033958281,0.051011542,0.04255122,,0.033958281,0.038106809,0.042721369,0.035320671
,0.14355078,0.033117352,0.033949741,,0.033117352,0.049964733,0.041567761,,0.033117352,0.036906214,0.041374978,0.03400648
,0.142828244,0.03232798,0.033299367,,0.03232798,0.048857619,0.040594602,,0.03232798,0.035814467,0.040090891,0.032762365
,0.142048308,0.031529117,0.032641142,,0.031529117,0.047707253,0.039634932,,0.031529117,0.034825435,0.038825278,0.031528632
,0.14120261,0.030772657,0.031958387,,0.030772657,0.046527303,0.038679322,,0.030772657,0.03388862,0.037555777,0.030286187
,0.140327327,0.030068525,0.031309753,,0.030068525,0.045292162,0.037777932,,0.030068525,0.033009908,0.036332113,0.029050622
,0.139415352,0.029399709,0.030681624,,0.029399709,0.044062175,0.03697112,,0.029399709,0.032123573,0.035117137,0.027835229
,0.138501368,0.028710458,0.030059579,,0.028710458,0.042780576,0.036216463,,0.028710458,0.03124505,0.033860307,0.026593335
,0.137566471,0.028043856,0.029400634,,0.028043856,0.041525849,0.035492831,,0.028043856,0.030308158,0.03261857,0.025374302
,0.136618376,0.02739614,0.028756896,,0.02739614,0.040270588,0.034817134,,0.02739614,0.029406793,0.031404916,0.02426223
,0.135624542,0.026779319,0.028095755,,0.026779319,0.039007422,0.034113171,,0.026779319,0.028510375,0.030232825,0.023214323
,0.134588841,0.026172338,0.027450318,,0.026172338,0.037760942,0.03339734,,0.026172338,0.027601784,0.029101995,0.022115384
,0.133498831,0.025575096,0.026824489,,0.025575096,0.03659734,0.032685468,,0.025575096,0.026704461,0.027972487,0.021052122
,0.132379343,0.024988912,0.026246406,,0.024988912,0.03547683,0.032012595,,0.024988912,0.025815769,0.026883958,0.020060632
,0.131204766,0.024443979,0.025719024,,0.024443979,0.034453643,0.031365791,,0.024443979,0.024886455,0.025819478,0.019076782
,0.129980846,0.023938826,0.025207641,,0.023938826,0.033527401,0.03075413,,0.023938826,0.023942361,0.024695157,0.018128238
,0.128701237,0.023468386,0.024666583,,0.023468386,0.032681026,0.03009515,,0.023468386,0.023049571,0.023599494,0.017253001
,0.127374903,0.023045772,0.024130403,,0.023045772,0.031906418,0.029434488,,0.023045772,0.022226834,0.022569927,0.016449601
,0.125981957,0.022621245,0.023600128,,0.022621245,0.031170229,0.028765918,,0.022621245,0.021443736,0.021539748,0.015663413
,0.124560555,0.022186405,0.023035106,,0.022186405,0.030492537,0.028100679,,0.022186405,0.020661279,0.020528886,0.014879938
,0.123110308,0.021740332,0.02248297,,0.021740332,0.029850736,0.027453489,,0.021740332,0.019921263,0.019576023,0.014113874
,0.121661414,0.021263985,0.02196635,,0.021263985,0.029219935,0.026842481,,0.021263985,0.019182935,0.018643864,0.013383102
,0.120219692,0.020768816,0.021480617,,0.020768816,0.028582382,0.026271876,,0.020768816,0.018391262,0.017733979,0.012636675
,0.118779384,0.020294709,0.020998224,,0.020294709,0.02796048,0.025669222,,0.020294709,0.017564277,0.016839818,0.011929289
,0.117337426,0.019785847,0.020510304,,0.019785847,0.02733027,0.02504276,,0.019785847,0.016754282,0.015976806,0.011274444
,0.115912814,0.019242849,0.020035808,,0.019242849,0.026671164,0.024394807,,0.019242849,0.015901492,0.015133028,0.010673863
,0.114485537,0.01867022,0.019588744,,0.01867022,0.026010175,0.023725856,,0.01867022,0.015038954,0.014301944,0.010109643
,0.113048281,0.018085827,0.019121587,,0.018085827,0.025399861,0.023036569,,0.018085827,0.01417542,0.013484819,0.009586654
,0.111602468,0.017488082,0.018696452,,0.017488082,0.024821083,0.022361875,,0.017488082,0.013379047,0.012738258,0.009045901
,0.110130784,0.016889243,0.018341356,,0.016889243,0.024236362,0.0216923,,0.016889243,0.012634993,0.012054864,0.008485179
,0.108685778,0.01631277,0.01803195,,0.01631277,0.023682683,0.021049135,,0.01631277,0.011968261,0.011411019,0.007898657
,0.10720765,0.015773686,0.017738361,,0.015773686,0.023136598,0.020445632,,0.015773686,0.011354974,0.010831181,0.007285798
,0.105677004,0.015251531,0.017471978,,0.015251531,0.022560929,0.019849006,,0.015251531,0.010800236,0.010304835,0.00664331
,0.104109339,0.014718994,0.01721146,,0.014718994,0.021951692,0.019306722,,0.014718994,0.01026212,0.009841102,0.005972216
,0.102501799,0.014221065,0.016966222,,0.014221065,0.021326891,0.018819622,,0.014221065,0.009751664,0.009392805,0.005284892
,0.100794428,0.013747463,0.016701859,,0.013747463,0.020690101,0.018374769,,0.013747463,0.009274844,0.00901926,0.004589089
,0.099048026,0.013314258,0.01643454,,0.013314258,0.020026333,0.017977353,,0.013314258,0.0088249,0.008666983,0.003898542
,0.097286889,0.012905686,0.016187832,,0.012905686,0.019299232,0.0176197,,0.012905686,0.00839005,0.00830813,0.003217248
,0.095574478,0.01254763,0.015944851,,0.01254763,0.018555758,0.017290354,,0.01254763,0.007964435,0.007907022,0.002620753
,0.093861163,0.012207115,0.015671678,,0.012207115,0.017812897,0.016994943,,0.012207115,0.007544505,0.007498155,0.00210223
,0.092070261,0.011867679,0.015390821,,0.011867679,0.017089912,0.016721154,,0.011867679,0.007115409,0.007045239,0.001626407
,0.09020058,0.011523187,0.015110823,,0.011523187,0.016379589,0.016457556,,0.011523187,0.006687919,0.006555846,0.001202617
,0.08832358,0.011197761,0.014805191,,0.011197761,0.015751098,0.016217996,,0.011197761,0.006274729,0.006048217,0.000857033
,0.086378511,0.010888684,0.014494173,,0.010888684,0.015188482,0.015987097,,0.010888684,0.005878157,0.005527214,0.000530775
,0.08442214,0.010601371,0.014195065,,0.010601371,0.014689386,0.015762487,,0.010601371,0.005484012,0.005015648,0.000193115
,0.082522403,0.01035076,0.013923916,,0.01035076,0.014253888,0.015527153,,0.01035076,0.005109916,0.004495897,-0.000127302
,0.080689257,0.010110597,0.013666684,,0.010110597,0.013909339,0.015276745,,0.010110597,0.004730396,0.004003196,-0.000445221
,0.078861478,0.009872138,0.013435964,,0.009872138,0.013616455,0.015025007,,0.009872138,0.004336529,0.003557669,-0.000799917
,0.076962922,0.009632166,0.013216287,,0.009632166,0.013349624,0.014771244,,0.009632166,0.003929165,0.003142317,-0.00117525
,0.07499667,0.009410123,0.013012218,,0.009410123,0.013117738,0.014495677,,0.009410123,0.003531338,0.002736132,-0.001550853
,0.0730457,0.009205287,0.012822331,,0.009205287,0.012891434,0.0142274,,0.009205287,0.003127453,0.002371518,-0.001921471
,0.071178936,0.009012383,0.012650866,,0.009012383,0.012649121,0.013955032,,0.009012383,0.002740605,0.002031273,-0.002280783
,0.06930779,0.008818479,0.012494519,,0.008818479,0.0123831,0.013667368,,0.008818479,0.002387806,0.001680404,-0.002630736
,0.067436824,0.008642821,0.012346567,,0.008642821,0.012104516,0.013340242,,0.008642821,0.002076246,0.001333207,-0.002945997
,0.065648836,0.008445063,0.012196287,,0.008445063,0.011811314,0.013016009,,0.008445063,0.001776201,0.000982958,-0.003224533
,0.063885337,0.008202792,0.012044096,,0.008202792,0.011511138,0.012688394,,0.008202792,0.001493699,0.00062118,-0.003479711
,0.062073651,0.007937291,0.01189496,,0.007937291,0.011207995,0.012401385,,0.007937291,0.0012363,0.000240466,-0.003721217
,0.060291349,0.00767818,0.011733419,,0.00767818,0.010927453,0.012151297,,0.00767818,0.000999168,-0.000111414,-0.003915816
,0.058613047,0.007381747,0.011556775,,0.007381747,0.010682523,0.011940608,,0.007381747,0.000762348,-0.000438855,-0.004095054
,0.057033833,0.007063251,0.011389462,,0.007063251,0.010435899,0.01173759,,0.007063251,0.000532906,-0.000750854,-0.004264907
,0.055473798,0.006755426,0.011212857,,0.006755426,0.010183067,0.011530776,,0.006755426,0.0003253,-0.001087584,-0.004422518
,0.053934631,0.006479548,0.011013296,,0.006479548,0.009965268,0.011305858,,0.006479548,0.000137258,-0.001399765,-0.004540206
,0.05243071,0.006209653,0.010810345,,0.006209653,0.009761317,0.011075192,,0.006209653,-5.95E-05,-0.001679293,-0.004643968
,0.051021531,0.005952947,0.010628041,,0.005952947,0.009559884,0.010854548,,0.005952947,-0.000247456,-0.00193898,-0.004731171
,0.049547694,0.005718754,0.010440509,,0.005718754,0.009379898,0.010633679,,0.005718754,-0.000397707,-0.002169293,-0.004790959
,0.048057051,0.005491524,0.010250846,,0.005491524,0.009233403,0.010429906,,0.005491524,-0.000520751,-0.002344628,-0.004827932
,0.046552312,0.005253116,0.010075311,,0.005253116,0.009099213,0.010222359,,0.005253116,-0.000651491,-0.00249876,-0.004867145
,0.045013843,0.005000955,0.009926048,,0.005000955,0.00895735,0.009996317,,0.005000955,-0.000761406,-0.002673134,-0.004892726
,0.043363886,0.004776428,0.00979867,,0.004776428,0.008783215,0.009741341,,0.004776428,-0.000861847,-0.002845324,-0.004901881
,0.041674587,0.004587811,0.009692531,,0.004587811,0.008575273,0.009494566,,0.004587811,-0.000985944,-0.003002991,-0.004908321
,0.039978174,0.004411243,0.00963161,,0.004411243,0.008318136,0.009266578,,0.004411243,-0.001140477,-0.003127436,-0.004904094
,0.038291881,0.004226508,0.009614168,,0.004226508,0.007999597,0.00905572,,0.004226508,-0.001312113,-0.003234852,-0.004893102
,0.036639661,0.004056427,0.009626195,,0.004056427,0.007661236,0.008838349,,0.004056427,-0.001501551,-0.003321875,-0.00487852
,0.035032741,0.003886504,0.009646658,,0.003886504,0.007316096,0.008645385,,0.003886504,-0.001702245,-0.003382877,-0.004871396
,0.033502478,0.003702223,0.009688624,,0.003702223,0.006951907,0.008456053,,0.003702223,-0.00189657,-0.003439401,-0.004872799
,0.03202254,0.003524971,0.00973698,,0.003524971,0.006575795,0.008241358,,0.003524971,-0.002104824,-0.003504889,-0.004900539
,0.030574429,0.003380197,0.009785534,,0.003380197,0.006196633,0.008022174,,0.003380197,-0.002325414,-0.003565043,-0.004945964
,0.029156935,0.003249568,0.009825525,,0.003249568,0.005814178,0.007833969,,0.003249568,-0.002565425,-0.003619965,-0.005021517
,0.027795448,0.003127544,0.009875688,,0.003127544,0.005454722,0.007668379,,0.003127544,-0.002803086,-0.003684868,-0.005124829
,0.026391886,0.003014658,0.009921638,,0.003014658,0.005154239,0.007521977,,0.003014658,-0.003026627,-0.003743771,-0.005241369
,0.024996035,0.00291793,0.00993597,,0.00291793,0.004926439,0.00738319,,0.00291793,-0.003216523,-0.00377813,-0.005370937
,0.023543499,0.002831731,0.00992431,,0.002831731,0.004753489,0.007247935,,0.002831731,-0.003357094,-0.003802156,-0.005536827
,0.022068793,0.002760527,0.009900921,,0.002760527,0.004618266,0.007118679,,0.002760527,-0.003439444,-0.003828807,-0.005727223
,0.02049466,0.002723219,0.009855239,,0.002723219,0.004524989,0.006955734,,0.002723219,-0.003486861,-0.00385747,-0.005930063
,0.018942606,0.002729836,0.009787666,,0.002729836,0.00446541,0.006768874,,0.002729836,-0.003528476,-0.003880657,-0.006145336
,0.017339816,0.002773843,0.009726058,,0.002773843,0.004412918,0.006592318,,0.002773843,-0.003536535,-0.00391593,-0.006353378
,0.015813887,0.00286384,0.009672204,,0.00286384,0.004371731,0.006419053,,0.00286384,-0.003489264,-0.003949304,-0.006526826
,0.014237701,0.003007345,0.009629439,,0.003007345,0.004354254,0.006231315,,0.003007345,-0.003396575,-0.003951834,-0.006653356
,0.01271533,0.00319147,0.009597766,,0.00319147,0.004346709,0.006052146,,0.00319147,-0.003272337,-0.003924425,-0.006728528
,0.011234681,0.003406508,0.009596713,,0.003406508,0.004336278,0.005883232,,0.003406508,-0.003111434,-0.003887914,-0.006754106
,0.009835099,0.003657932,0.009637087,,0.003657932,0.004340261,0.005722022,,0.003657932,-0.002945035,-0.003836353,-0.006741609
,0.008438164,0.003943744,0.009708031,,0.003943744,0.004379044,0.005566556,,0.003943744,-0.002814115,-0.003767317,-0.006694542
,0.007123792,0.004266444,0.009792571,,0.004266444,0.00442022,0.005437263,,0.004266444,-0.002722537,-0.003691467,-0.00662037
,0.005848262,0.004600484,0.009902238,,0.004600484,0.004444153,0.005362068,,0.004600484,-0.002642999,-0.003616563,-0.006529652
,0.004579597,0.004948733,0.010042279,,0.004948733,0.004460061,0.005342556,,0.004948733,-0.002556417,-0.003521578,-0.006416837
,0.003332869,0.005298522,0.010187996,,0.005298522,0.004468551,0.005368776,,0.005298522,-0.00246495,-0.003390993,-0.006274631
,0.00207348,0.005619117,0.010323233,,0.005619117,0.004456767,0.005447095,,0.005619117,-0.002355621,-0.003233016,-0.006102016
,0.000856911,0.00589627,0.010441538,,0.00589627,0.004452858,0.005566027,,0.00589627,-0.002209514,-0.003074817,-0.005911513
,-0.000366613,0.006139817,0.010532304,,0.006139817,0.004473141,0.005697778,,0.006139817,-0.002034148,-0.002900947,-0.005719292
,-0.001535082,0.006340854,0.010566473,,0.006340854,0.004510408,0.005831853,,0.006340854,-0.001852551,-0.00270905,-0.005539102
,-0.002696569,0.00648867,0.010543863,,0.00648867,0.004557488,0.005967745,,0.00648867,-0.001635723,-0.002524628,-0.005379373
,-0.003760602,0.00659231,0.010490616,,0.00659231,0.004623193,0.006091427,,0.00659231,-0.001373948,-0.002353827,-0.005219305
,-0.004785958,0.006673895,0.010420499,,0.006673895,0.004701087,0.006205179,,0.006673895,-0.001075192,-0.002163381,-0.005054821
,-0.005703756,0.00673643,0.01033604,,0.00673643,0.004800363,0.006317826,,0.00673643,-0.000746032,-0.001953975,-0.004875776
,-0.006559587,0.006781726,0.010238198,,0.006781726,0.004914708,0.006402233,,0.006781726,-0.000387036,-0.001776927,-0.004680263
,-0.007337493,0.006828376,0.010143301,,0.006828376,0.005053697,0.006449764,,0.006828376,-5.74E-06,-0.001640664,-0.004465864
,-0.008070278,0.006901495,0.010049949,,0.006901495,0.005222038,0.006447119,,0.006901495,0.000370891,-0.001532434,-0.004272341
,-0.008751162,0.006980555,0.009955994,,0.006980555,0.005414553,0.006397798,,0.006980555,0.000740895,-0.001449088,-0.004118836
,-0.009410755,0.007063876,0.009869572,,0.007063876,0.00561459,0.006291674,,0.007063876,0.001112626,-0.001397411,-0.004002351
,-0.010095169,0.00716123,0.009801739,,0.00716123,0.00581304,0.00614915,,0.00716123,0.001504525,-0.001346641,-0.0038996
,-0.01079329,0.007282107,0.009742519,,0.007282107,0.006010685,0.005979146,,0.007282107,0.001880666,-0.001288971,-0.003793753
,-0.011507734,0.007413343,0.009674786,,0.007413343,0.006189156,0.005816258,,0.007413343,0.002256783,-0.001234114,-0.003687028
,-0.012295525,0.007534945,0.009607941,,0.007534945,0.00635555,0.005650863,,0.007534945,0.00263,-0.001207475,-0.003551815
,-0.013158691,0.007649483,0.009539029,,0.007649483,0.006506102,0.005472852,,0.007649483,0.002983553,-0.001198766,-0.003383599
,-0.014104342,0.007754145,0.009475848,,0.007754145,0.006667101,0.005314644,,0.007754145,0.003281538,-0.00117791,-0.00320006
,-0.015104247,0.007845619,0.009421339,,0.007845619,0.006828777,0.005191809,,0.007845619,0.003530103,-0.001150454,-0.003035805
,-0.016128094,0.007901493,0.009389248,,0.007901493,0.00699477,0.005107792,,0.007901493,0.003754206,-0.001125112,-0.002868367
,-0.017152457,0.007946578,0.009372692,,0.007946578,0.007164623,0.005043339,,0.007946578,0.003943149,-0.001075593,-0.002689407
,-0.018135708,0.007989456,0.009357591,,0.007989456,0.00734561,0.005018264,,0.007989456,0.00410441,-0.0009943,-0.002503078
,-0.019071526,0.008036076,0.009334099,,0.008036076,0.007522997,0.005009564,,0.008036076,0.004250996,-0.000913055,-0.002338673
,-0.019988045,0.008079547,0.009322877,,0.008079547,0.007693467,0.004994731,,0.008079547,0.004419311,-0.000827541,-0.002188216
,-0.020916615,0.008142081,0.009327473,,0.008142081,0.007855155,0.004947412,,0.008142081,0.004578757,-0.000711492,-0.002049165
,-0.021809038,0.008213902,0.009343182,,0.008213902,0.007993048,0.004884177,,0.008213902,0.004722201,-0.000571781,-0.001945161
