调整kp_smoothed,kp=1ki=0kd=0_smoothed,kp=3ki=0kd=0_smoothed,kp=5ki=0kd=0_smoothed,调整kd_smoothed,kp=3ki=0kd=0_smoothed,kp=3ki=0kd=4_smoothed,kp=3ki=0kd=6_smoothed,kp=3ki=0kd=8_smoothed,调整Ki_smoothed,kp=3ki=0.001kd=6_smoothed,kp=3ki=0.01kd=6_smoothed,kp=3ki=0.1kd=6_smoothed
,0.075032971,0.001364416,-0.0004471,,0.001364416,0.002891198,0.002811784,0.117610476,,0.002054361,-0.004375111,-0.042910105
,0.13061194,0.001286229,-0.000204967,,0.001286229,0.002738869,0.002544522,0.12737525,,0.001781939,-0.004683077,-0.042116394
,0.169957095,0.001172725,-9.51E-05,,0.001172725,0.00242358,0.002393622,0.135905057,,0.001620906,-0.004892442,-0.040317123
,0.208382669,0.001242551,-7.30E-05,,0.001242551,0.002271763,0.002028493,0.142870167,,0.001248671,-0.005297268,-0.039784363
,0.227734694,0.001248699,-0.00014822,,0.001248699,0.001953014,0.001866152,0.149672017,,0.001085295,-0.005440938,-0.037855804
,0.233333936,0.001348107,-0.000258846,,0.001348107,0.00185546,0.001460198,0.154945679,,0.000674485,-0.005869635,-0.037562476
,0.232214986,0.001372688,-0.000426028,,0.001372688,0.001559326,0.001343856,0.152745028,,0.000557444,-0.005967194,-0.035551294
,0.224650945,0.001433493,-0.000589722,,0.001433493,0.00151884,0.000947815,0.156724771,,0.000158355,-0.006371719,-0.0354724
,0.206497157,0.001413801,-0.000625547,,0.001413801,0.001259928,0.000863044,0.154858878,,7.32E-05,-0.006436928,-0.033418488
,0.189193184,0.001410173,-0.000659533,,0.001410173,0.001261848,0.00050423,0.158531251,,-0.000287334,-0.006793551,-0.031061759
,0.15973155,0.001354147,-0.000629366,,0.001354147,0.001042495,0.000446761,0.157002854,,-0.000344885,-0.006830456,-0.028990856
,0.137131892,0.001292379,-0.000601178,,0.001292379,0.001067736,0.000134219,0.1606436,,-0.000658357,-0.007133677,-0.026653953
,0.102790421,0.001230564,-0.000549136,,0.001230564,0.000883389,0.000104013,0.159078644,,-0.000688469,-0.007142388,-0.024574325
,0.078798032,0.001149317,-0.000502714,,0.001149317,0.000915318,-0.000164738,0.162691873,,-0.000957685,-0.007397691,-0.022134713
,0.045068632,0.001090474,-0.000450358,,0.001090474,0.00075989,-0.000167077,0.161230636,,-0.00095984,-0.007377752,-0.022509045
,0.023009901,0.001021154,-0.000403486,,0.001021154,0.000786958,-0.0004,0.165144982,,-0.001192987,-0.007595398,-0.023253576
,-0.005701152,0.000986743,-0.000357306,,0.000986743,0.000655787,-0.000374644,0.163818513,,-0.001167407,-0.007547042,-0.023753041
,-0.027009159,0.000905936,-0.000312861,,0.000905936,0.000671636,-0.000580677,0.168158409,,-0.001373573,-0.007737584,-0.024877957
,-0.047695352,0.000865492,-0.000259672,,0.000865492,0.000562163,-0.000528766,0.166820485,,-0.00132142,-0.007661872,-0.02562111
,-0.059734364,0.000770843,-0.000203307,,0.000770843,0.000564515,-0.000714862,0.171529628,,-0.001507619,-0.007833307,-0.027564552
,-0.071050281,0.000701042,-0.000148653,,0.000701042,0.000475687,-0.000638391,0.170081479,,-0.001430888,-0.007732021,-0.025601129
,-0.074009615,0.000576491,-8.96E-05,,0.000576491,0.000478893,-0.000807809,0.175101627,,-0.001600401,-0.007888231,-0.028808049
,-0.072509997,0.00048842,-4.42E-05,,0.00048842,0.000413961,-0.000709662,0.173459214,,-0.001501958,-0.00776395,-0.027805128
,-0.071507288,0.000351625,-7.18E-07,,0.000351625,0.000382975,-0.00086123,0.178699636,,-0.001653611,-0.007904064,-0.032033517
,-0.06579267,0.000259901,1.88E-05,,0.000259901,0.000332598,-0.000745452,0.176789447,,-0.001537481,-0.007760497,-0.03155657
,-0.060419793,0.000127844,5.29E-05,,0.000127844,0.000299314,-0.000873594,0.182129197,,-0.001665681,-0.007878952,-0.036479596
,-0.052364117,4.24E-05,5.79E-05,,4.24E-05,0.000272417,-0.000745765,0.179899255,,-0.001537425,-0.007721387,-0.036113365
